language,key,translation,units
en,pattoo_agent_linux_autonomousd_processor,Processor Type,
en,pattoo_agent_linux_autonomousd_release,OS Release,
en,pattoo_agent_linux_autonomousd_type,OS Type,
en,pattoo_agent_linux_autonomousd_version,OS Version,
en,pattoo_agent_linux_autonomousd_cpus,OS CPU Count,
en,pattoo_agent_linux_autonomousd_hostname,Hostname,
en,pattoo_agent_linux_autonomousd_disk_partition_device,Disk Partition,
en,pattoo_agent_linux_autonomousd_disk_partition_fstype,Filesystem Type,
en,pattoo_agent_linux_autonomousd_disk_partition_mountpoint,Mount Point,
en,pattoo_agent_linux_autonomousd_disk_partition_opts,Partition Options,
en,pattoo_agent_linux_autonomousd_cpu_times_percent_user,User (Percent CPU Usage),Percent
en,pattoo_agent_linux_autonomousd_cpu_times_percent_nice,Nice (Percent CPU Usage),Percent
en,pattoo_agent_linux_autonomousd_cpu_times_percent_system,System (Percent CPU Usage),Percent
en,pattoo_agent_linux_autonomousd_cpu_times_percent_idle,Idle (Percent CPU Usage),Percent
en,pattoo_agent_linux_autonomousd_cpu_times_percent_iowait,IO Wait (Percent CPU Usage),Percent
en,pattoo_agent_linux_autonomousd_cpu_times_percent_irq,IRQ (Percent CPU Usage),Percent
en,pattoo_agent_linux_autonomousd_cpu_times_percent_softirq,Soft IRQ (Percent CPU Usage),Percent
en,pattoo_agent_linux_autonomousd_cpu_times_percent_steal,Steal (Percent CPU Usage),Percent
en,pattoo_agent_linux_autonomousd_cpu_times_percent_guest,Guest (Percent CPU Usage),Percent
en,pattoo_agent_linux_autonomousd_cpu_times_percent_guest_nice,Guest / Nice (Percent CPU Usage),Percent
en,pattoo_agent_linux_autonomousd_cpu_times_user,User (CPU Usage),Percent
en,pattoo_agent_linux_autonomousd_cpu_times_nice,Nice (CPU Usage),Percent
en,pattoo_agent_linux_autonomousd_cpu_times_system,System (CPU Usage),Percent
en,pattoo_agent_linux_autonomousd_cpu_times_idle,Idle (CPU Usage),Percent
en,pattoo_agent_linux_autonomousd_cpu_times_iowait,IO Wait (CPU Usage),Percent
en,pattoo_agent_linux_autonomousd_cpu_times_irq,IRQ (CPU Usage),Percent
en,pattoo_agent_linux_autonomousd_cpu_times_softirq,Soft IRQ (CPU Usage),Percent
en,pattoo_agent_linux_autonomousd_cpu_times_steal,Steal (CPU Usage),Percent
en,pattoo_agent_linux_autonomousd_cpu_times_guest,Guest (CPU Usage),Percent
en,pattoo_agent_linux_autonomousd_cpu_times_guest_nice,Guest / Nice (CPU Usage),Percent
en,pattoo_agent_linux_autonomousd_cpu_stats_ctx_switches,CPU (Context Switches),Events / Second
en,pattoo_agent_linux_autonomousd_cpu_stats_interrupts,CPU (Context Switches),Events / Second
en,pattoo_agent_linux_autonomousd_cpu_stats_soft_interrupts,CPU (Soft Interrupts),Events / Second
en,pattoo_agent_linux_autonomousd_cpu_stats_syscalls,CPU (System Calls),Events / Second
en,pattoo_agent_linux_autonomousd_memory_total,Memory (Total),Bytes
en,pattoo_agent_linux_autonomousd_memory_available,Memory (Available),Bytes
en,pattoo_agent_linux_autonomousd_memory_percent,Memory (Percent),Percentage Utilization
en,pattoo_agent_linux_autonomousd_memory_used,Memory (Used),Bytes
en,pattoo_agent_linux_autonomousd_memory_free,Memory (Free),Bytes
en,pattoo_agent_linux_autonomousd_memory_active,Memory (Active),Bytes
en,pattoo_agent_linux_autonomousd_memory_inactive,Memory (Inactive),Bytes
en,pattoo_agent_linux_autonomousd_memory_buffers,Memory (Buffers),Bytes
en,pattoo_agent_linux_autonomousd_memory_cached,Memory (Cached),Bytes
en,pattoo_agent_linux_autonomousd_memory_shared,Memory (Shared),Bytes
en,pattoo_agent_linux_autonomousd_memory_slab,Memory (Slab),Bytes
en,pattoo_agent_linux_autonomousd_swap_memory_total,Swap Memory (Total),Bytes
en,pattoo_agent_linux_autonomousd_swap_memory_used,Swap Memory (Used),Bytes
en,pattoo_agent_linux_autonomousd_swap_memory_free,Swap Memory (Free),Bytes
en,pattoo_agent_linux_autonomousd_swap_memory_percent,Swap Memory (Percent),Percent
en,pattoo_agent_linux_autonomousd_swap_memory_sin,Swap Memory (In),Bytes / Second
en,pattoo_agent_linux_autonomousd_swap_memory_sout,Swap Memory (Out),Bytes / Second
en,pattoo_agent_linux_autonomousd_disk_partition_disk_usage_total,Disk size,Bytes
en,pattoo_agent_linux_autonomousd_disk_partition_disk_usage_used,Disk Utilization,Percent
en,pattoo_agent_linux_autonomousd_disk_partition_disk_usage_free,Disk Free,Bytes
en,pattoo_agent_linux_autonomousd_disk_partition_disk_usage_percent,Disk Percentage Utilization,
en,pattoo_agent_linux_autonomousd_disk_io_read_count,Disk I/O (Read Count),Reads / Second
en,pattoo_agent_linux_autonomousd_disk_partition,Disk Partition,
en,pattoo_agent_linux_autonomousd_disk_io_write_count,Disk I/O (Write Count),Writes / Second
en,pattoo_agent_linux_autonomousd_disk_io_read_bytes,Disk I/O (Bytes Read),Bytes / Second
en,pattoo_agent_linux_autonomousd_disk_io_write_bytes,Disk I/O (Bytes Written),Bytes / Second
en,pattoo_agent_linux_autonomousd_disk_io_read_time,Disk I/O (Read Time),
en,pattoo_agent_linux_autonomousd_disk_io_write_time,Disk I/O (Write Time),
en,pattoo_agent_linux_autonomousd_disk_io_read_merged_count,Disk I/O (Read Merged Count),Reads / Second
en,pattoo_agent_linux_autonomousd_disk_io_write_merged_count,Disk I/O (Write Merged Count),Writes / Second
en,pattoo_agent_linux_autonomousd_disk_io_busy_time,Disk I/O (Busy Time),
en,pattoo_agent_linux_autonomousd_network_io_bytes_sent,Network I/O (Bandwidth Inbound),Bits / Second
en,pattoo_agent_linux_autonomousd_network_io_interface,Network Interface,
en,pattoo_agent_linux_autonomousd_network_io_bytes_recv,Network I/O (Bandwidth Outbound),Bits / Second
en,pattoo_agent_linux_autonomousd_network_io_packets_sent,Network I/O (Packets Sent),Packets / Second
en,pattoo_agent_linux_autonomousd_network_io_packets_recv,Network I/O (Packets Received),Packets / Second
en,pattoo_agent_linux_autonomousd_network_io_errin,Network I/O (Errors Inbound),Errors / Second
en,pattoo_agent_linux_autonomousd_network_io_errout,Network I/O (Errors Outbound),Errors / Second
en,pattoo_agent_linux_autonomousd_network_io_dropin,Network I/O (Drops Inbound),Drops / Second
en,pattoo_agent_linux_autonomousd_network_io_dropout,Network I/O (Drops Outbound),Drops / Second
en,pattoo_agent_linux_autonomousd_cpu_frequency,CPU Frequency,Frequency
en,pattoo_agent_linux_spoked_processor,Processor Type,
en,pattoo_agent_linux_spoked_release,OS Release,
en,pattoo_agent_linux_spoked_type,OS Type,
en,pattoo_agent_linux_spoked_version,OS Version,
en,pattoo_agent_linux_spoked_cpus,OS CPU Count,
en,pattoo_agent_linux_spoked_hostname,Hostname,
en,pattoo_agent_linux_spoked_disk_partition_device,Disk Partition,
en,pattoo_agent_linux_spoked_disk_partition_fstype,Filesystem Type,
en,pattoo_agent_linux_spoked_disk_partition_mountpoint,Mount Point,
en,pattoo_agent_linux_spoked_disk_partition_opts,Partition Options,
en,pattoo_agent_linux_spoked_cpu_times_percent_user,User (Percent CPU Usage),Percent
en,pattoo_agent_linux_spoked_cpu_times_percent_nice,Nice (Percent CPU Usage),Percent
en,pattoo_agent_linux_spoked_cpu_times_percent_system,System (Percent CPU Usage),Percent
en,pattoo_agent_linux_spoked_cpu_times_percent_idle,Idle (Percent CPU Usage),Percent
en,pattoo_agent_linux_spoked_cpu_times_percent_iowait,IO Wait (Percent CPU Usage),Percent
en,pattoo_agent_linux_spoked_cpu_times_percent_irq,IRQ (Percent CPU Usage),Percent
en,pattoo_agent_linux_spoked_cpu_times_percent_softirq,Soft IRQ (Percent CPU Usage),Percent
en,pattoo_agent_linux_spoked_cpu_times_percent_steal,Steal (Percent CPU Usage),Percent
en,pattoo_agent_linux_spoked_cpu_times_percent_guest,Guest (Percent CPU Usage),Percent
en,pattoo_agent_linux_spoked_cpu_times_percent_guest_nice,Guest / Nice (Percent CPU Usage),Percent
en,pattoo_agent_linux_spoked_cpu_times_user,User (CPU Usage),Percent
en,pattoo_agent_linux_spoked_cpu_times_nice,Nice (CPU Usage),Percent
en,pattoo_agent_linux_spoked_cpu_times_system,System (CPU Usage),Percent
en,pattoo_agent_linux_spoked_cpu_times_idle,Idle (CPU Usage),Percent
en,pattoo_agent_linux_spoked_cpu_times_iowait,IO Wait (CPU Usage),Percent
en,pattoo_agent_linux_spoked_cpu_times_irq,IRQ (CPU Usage),Percent
en,pattoo_agent_linux_spoked_cpu_times_softirq,Soft IRQ (CPU Usage),Percent
en,pattoo_agent_linux_spoked_cpu_times_steal,Steal (CPU Usage),Percent
en,pattoo_agent_linux_spoked_cpu_times_guest,Guest (CPU Usage),Percent
en,pattoo_agent_linux_spoked_cpu_times_guest_nice,Guest / Nice (CPU Usage),Percent
en,pattoo_agent_linux_spoked_cpu_stats_ctx_switches,CPU (Context Switches),Events / Second
en,pattoo_agent_linux_spoked_cpu_stats_interrupts,CPU (Context Switches),Events / Second
en,pattoo_agent_linux_spoked_cpu_stats_soft_interrupts,CPU (Soft Interrupts),Events / Second
en,pattoo_agent_linux_spoked_cpu_stats_syscalls,CPU (System Calls),Events / Second
en,pattoo_agent_linux_spoked_memory_total,Memory (Total),Bytes
en,pattoo_agent_linux_spoked_memory_available,Memory (Available),Bytes
en,pattoo_agent_linux_spoked_memory_percent,Memory (Percent),
en,pattoo_agent_linux_spoked_memory_used,Memory (Used),Bytes
en,pattoo_agent_linux_spoked_memory_free,Memory (Free),Bytes
en,pattoo_agent_linux_spoked_memory_active,Memory (Active),Bytes
en,pattoo_agent_linux_spoked_memory_inactive,Memory (Inactive),Bytes
en,pattoo_agent_linux_spoked_memory_buffers,Memory (Buffers),Bytes
en,pattoo_agent_linux_spoked_memory_cached,Memory (Cached),Bytes
en,pattoo_agent_linux_spoked_memory_shared,Memory (Shared),Bytes
en,pattoo_agent_linux_spoked_memory_slab,Memory (Slab),Bytes
en,pattoo_agent_linux_spoked_swap_memory_total,Swap Memory (Total),Bytes
en,pattoo_agent_linux_spoked_swap_memory_used,Swap Memory (Used),Bytes
en,pattoo_agent_linux_spoked_swap_memory_free,Swap Memory (Free),Bytes
en,pattoo_agent_linux_spoked_swap_memory_percent,Swap Memory (Percent),
en,pattoo_agent_linux_spoked_swap_memory_sin,Swap Memory (In),Bytes / Second
en,pattoo_agent_linux_spoked_swap_memory_sout,Swap Memory (Out),Bytes / Second
en,pattoo_agent_linux_spoked_disk_partition_disk_usage_total,Disk size,Bytes
en,pattoo_agent_linux_spoked_disk_partition_disk_usage_used,Disk Utilization,Percent
en,pattoo_agent_linux_spoked_disk_partition_disk_usage_free,Disk Free,Bytes
en,pattoo_agent_linux_spoked_disk_partition_disk_usage_percent,Disk Percentage Utilization,
en,pattoo_agent_linux_spoked_disk_io_read_count,Disk I/O (Read Count),Reads / Second
en,pattoo_agent_linux_spoked_disk_partition,Disk Partition,
en,pattoo_agent_linux_spoked_disk_io_write_count,Disk I/O (Write Count),Writes / Second
en,pattoo_agent_linux_spoked_disk_io_read_bytes,Disk I/O (Bytes Read),Bytes / Second
en,pattoo_agent_linux_spoked_disk_io_write_bytes,Disk I/O (Bytes Written),Bytes / Second
en,pattoo_agent_linux_spoked_disk_io_read_time,Disk I/O (Read Time),
en,pattoo_agent_linux_spoked_disk_io_write_time,Disk I/O (Write Time),
en,pattoo_agent_linux_spoked_disk_io_read_merged_count,Disk I/O (Read Merged Count),Reads / Second
en,pattoo_agent_linux_spoked_disk_io_write_merged_count,Disk I/O (Write Merged Count),Writes / Second
en,pattoo_agent_linux_spoked_disk_io_busy_time,Disk I/O (Busy Time),
en,pattoo_agent_linux_spoked_network_io_bytes_sent,Network I/O (Bandwidth Inbound),Bits / Second
en,pattoo_agent_linux_spoked_network_io_interface,Network Interface,
en,pattoo_agent_linux_spoked_network_io_bytes_recv,Network I/O (Bandwidth Outbound),Bits / Second
en,pattoo_agent_linux_spoked_network_io_packets_sent,Network I/O (Packets Sent),Packets / Second
en,pattoo_agent_linux_spoked_network_io_packets_recv,Network I/O (Packets Received),Packets / Second
en,pattoo_agent_linux_spoked_network_io_errin,Network I/O (Errors Inbound),Errors / Second
en,pattoo_agent_linux_spoked_network_io_errout,Network I/O (Errors Outbound),Errors / Second
en,pattoo_agent_linux_spoked_network_io_dropin,Network I/O (Drops Inbound),Drops / Second
en,pattoo_agent_linux_spoked_network_io_dropout,Network I/O (Drops Outbound),Drops / Second
en,pattoo_agent_linux_spoked_cpu_frequency,CPU Frequency,
