language,key,description
en,agent_bacnetipd_analog_value_point_7,Output KVA (Main Panel)
en,agent_bacnetipd_analog_value_point_9,Output KW (Main Panel)
en,agent_bacnetipd_analog_value_point_14,Percentage Load (Main Panel)
en,agent_bacnetipd_analog_value_point_17,Output Current Phase A (Main Panel)
en,agent_bacnetipd_analog_value_point_18,Output Current Phase B (Main Panel)
en,agent_bacnetipd_analog_value_point_19,Output Current Phase C (Main Panel)
en,agent_bacnetipd_analog_value_point_26,Output Voltage A-B (Main Panel)
en,agent_bacnetipd_analog_value_point_28,Output Voltage B-C (Main Panel)
en,agent_bacnetipd_analog_value_point_30,Output Voltage C-A (Main Panel)
en,agent_bacnetipd_analog_value_point_41,Input Voltage A-B (Main Panel)
en,agent_bacnetipd_analog_value_point_42,Input Voltage B-C (Main Panel)
en,agent_bacnetipd_analog_value_point_43,Input Voltage C-A (Main Panel)
en,agent_bacnetipd_analog_value_point_93,Output Current Phase A (Panel 1)
en,agent_bacnetipd_analog_value_point_94,Output Current Phase B (Panel 1)
en,agent_bacnetipd_analog_value_point_95,Output Current Phase C (Panel 1)
en,agent_bacnetipd_analog_value_point_98,Output KVA (Panel 1)
en,agent_bacnetipd_analog_value_point_100,Output KW (Panel 1)
en,agent_bacnetipd_analog_value_point_108,Neutral Current (Panel 1)
en,agent_bacnetipd_analog_value_point_122,Output Voltage A-B (Panel 1)
en,agent_bacnetipd_analog_value_point_124,Output Voltage B-C (Panel 1)
en,agent_bacnetipd_analog_value_point_126,Output Voltage C-A (Panel 1)
en,agent_bacnetipd_analog_value_point_133,Output Current Phase A (Panel 2)
en,agent_bacnetipd_analog_value_point_134,Output Current Phase B (Panel 2)
en,agent_bacnetipd_analog_value_point_135,Output Current Phase C (Panel 2)
en,agent_bacnetipd_analog_value_point_138,Output KVA (Panel 2)
en,agent_bacnetipd_analog_value_point_140,Output KW (Panel 2)
en,agent_bacnetipd_analog_value_point_148,Neutral Current (Panel 2)
en,agent_bacnetipd_analog_value_point_162,Output Voltage A-B (Panel 2)
en,agent_bacnetipd_analog_value_point_164,Output Voltage B-C (Panel 2)
en,agent_bacnetipd_analog_value_point_166,Output Voltage C-A (Panel 2)
en,agent_bacnetipd_analog_value_point_173,Output Current Phase A (Panel 3)
en,agent_bacnetipd_analog_value_point_174,Output Current Phase B (Panel 3)
en,agent_bacnetipd_analog_value_point_175,Output Current Phase C (Panel 3)
en,agent_bacnetipd_analog_value_point_178,Output KVA (Panel 3)
en,agent_bacnetipd_analog_value_point_180,Output KW (Panel 3)
en,agent_bacnetipd_analog_value_point_188,Neutral Current (Panel 3)
en,agent_bacnetipd_analog_value_point_202,Output Voltage A-B (Panel 3)
en,agent_bacnetipd_analog_value_point_204,Output Voltage B-C (Panel 3)
en,agent_bacnetipd_analog_value_point_206,Output Voltage C-A (Panel 3)
en,agent_bacnetipd_analog_value_point_213,Output Current Phase A (Panel 4)
en,agent_bacnetipd_analog_value_point_214,Output Current Phase B (Panel 4)
en,agent_bacnetipd_analog_value_point_215,Output Current Phase C (Panel 4)
en,agent_bacnetipd_analog_value_point_218,Output KVA (Panel 4)
en,agent_bacnetipd_analog_value_point_220,Output KW (Panel 4)
en,agent_bacnetipd_analog_value_point_228,Neutral Current (Panel 4)
en,agent_bacnetipd_analog_value_point_242,Output Voltage A-B (Panel 4)
en,agent_bacnetipd_analog_value_point_244,Output Voltage B-C (Panel 4)
en,agent_bacnetipd_analog_value_point_246,Output Voltage C-A (Panel 4)
