language,key,description
en,agent_bacnetipd_analog_value_point_7,Output KVA (Main Panel)
en,agent_bacnetipd_analog_value_point_9,Output KW (Main Panel)
en,agent_bacnetipd_analog_value_point_14,Percentage Load (Main Panel)
en,agent_bacnetipd_analog_value_point_17,Output Current Phase A (Main Panel)
en,agent_bacnetipd_analog_value_point_18,Output Current Phase B (Main Panel)
en,agent_bacnetipd_analog_value_point_19,Output Current Phase C (Main Panel)
en,agent_bacnetipd_analog_value_point_26,Output Voltage A-B (Main Panel)
en,agent_bacnetipd_analog_value_point_28,Output Voltage B-C (Main Panel)
en,agent_bacnetipd_analog_value_point_30,Output Voltage C-A (Main Panel)
en,agent_bacnetipd_analog_value_point_41,Input Voltage A-B (Main Panel)
en,agent_bacnetipd_analog_value_point_42,Input Voltage B-C (Main Panel)
en,agent_bacnetipd_analog_value_point_43,Input Voltage C-A (Main Panel)
en,agent_bacnetipd_analog_value_point_93,Output Current Phase A (Panel 1)
en,agent_bacnetipd_analog_value_point_94,Output Current Phase B (Panel 1)
en,agent_bacnetipd_analog_value_point_95,Output Current Phase C (Panel 1)
en,agent_bacnetipd_analog_value_point_98,Output KVA (Panel 1)
en,agent_bacnetipd_analog_value_point_100,Output KW (Panel 1)
en,agent_bacnetipd_analog_value_point_108,Neutral Current (Panel 1)
en,agent_bacnetipd_analog_value_point_122,Output Voltage A-B (Panel 1)
en,agent_bacnetipd_analog_value_point_124,Output Voltage B-C (Panel 1)
en,agent_bacnetipd_analog_value_point_126,Output Voltage C-A (Panel 1)
en,agent_bacnetipd_analog_value_point_49,Output Current Phase A (Panel 2)
en,agent_bacnetipd_analog_value_point_50,Output Current Phase B (Panel 2)
en,agent_bacnetipd_analog_value_point_51,Output Current Phase C (Panel 2)
en,agent_bacnetipd_analog_value_point_54,Output KVA (Panel 2)
en,agent_bacnetipd_analog_value_point_56,Output KW (Panel 2)
en,agent_bacnetipd_analog_value_point_64,Neutral Current (Panel 2)
en,agent_bacnetipd_analog_value_point_78,Output Voltage A-B (Panel 2)
en,agent_bacnetipd_analog_value_point_80,Output Voltage B-C (Panel 2)
en,agent_bacnetipd_analog_value_point_82,Output Voltage C-A (Panel 2)
en,agent_bacnetipd_analog_value_point_129,Output Current Phase A (Panel 3)
en,agent_bacnetipd_analog_value_point_130,Output Current Phase B (Panel 3)
en,agent_bacnetipd_analog_value_point_131,Output Current Phase C (Panel 3)
en,agent_bacnetipd_analog_value_point_134,Output KVA (Panel 3)
en,agent_bacnetipd_analog_value_point_136,Output KW (Panel 3)
en,agent_bacnetipd_analog_value_point_144,Neutral Current (Panel 3)
en,agent_bacnetipd_analog_value_point_158,Output Voltage A-B (Panel 3)
en,agent_bacnetipd_analog_value_point_160,Output Voltage B-C (Panel 3)
en,agent_bacnetipd_analog_value_point_162,Output Voltage C-A (Panel 3)
en,agent_bacnetipd_analog_value_point_169,Output Current Phase A (Panel 4)
en,agent_bacnetipd_analog_value_point_170,Output Current Phase B (Panel 4)
en,agent_bacnetipd_analog_value_point_171,Output Current Phase C (Panel 4)
en,agent_bacnetipd_analog_value_point_174,Output KVA (Panel 4)
en,agent_bacnetipd_analog_value_point_176,Output KW (Panel 4)
en,agent_bacnetipd_analog_value_point_184,Neutral Current (Panel 4)
en,agent_bacnetipd_analog_value_point_198,Output Voltage A-B (Panel 4)
en,agent_bacnetipd_analog_value_point_200,Output Voltage B-C (Panel 4)
en,agent_bacnetipd_analog_value_point_202,Output Voltage C-A (Panel 4)
